Skill Level,Yarn Brand,Yarn Name,Yarn Weight,Hook Size,Stitches,Color,Category,Pattern Details
Easy Moss Stitch Crochet Baby Blanket,2. Easy,Red Heart,Hygge,Weight 5 - Bulky,6.5 mm (K-10.5),Moss / Linen,,Crochet Baby Blankets
Bobble Crochet Baby Blanket (+7 Bonus Sizes),3. Intermediate,Bernat,Softee Baby,Weight 3 - Light,5 mm (H-8),"Bobble , Half Double Crochet , Single Crochet",Pink,Pink
Textured Puff Stitch Crochet Blanket Pattern,3. Intermediate,Lion Brand,Pound of Love,Weight 4 - Medium,5 mm (H-8),"Puff , Single Crochet",Gray,Gray
Mountain Pine Crochet Tree Blanket,3. Intermediate,Lion Brand,Wool-Ease,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,"Green , Neutral",Green
Corner to Corner Heart Blanket Pattern,3. Intermediate,Lion Brand,Comfy Cotton Blend,Weight 3 - Light,6 mm (J-10),"Double Crochet , Slip Stitch","Brown , Neutral",Brown
Textured Crochet Afghan Pattern (+7 Sizes!),3. Intermediate,Lion Brand,Pound of Love,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",White,White
Ombre Crochet Blanket Pattern (Easy & Quick),2. Easy,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Half Double Crochet , Single Crochet , Slip Stitch","Blue , Green",Blue
Crochet Weighted Blanket using Bernat Blanket Extra,2. Easy,Bernat,Blanket Extra,Weight 7 - Jumbo,"15 mm (P/Q) , 16 mm (Q)","Half Double Crochet , Herringbone Half Double Crochet","Brown , Neutral",Brown
Winter Crochet Beanie Pattern,3. Intermediate,Lion Brand,Heartland,Weight 4 - Medium,5.5 mm (I-9),"Double Crochet , Single Crochet","Neutral , White",Neutral
Neon Rainbow Striped Crochet Hat,3. Intermediate,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Herringbone Half Double Crochet , Single Crochet , Single Crochet Back Loop",Variegated,Variegated
Emily Diagonal Beanie Crochet Hat Pattern,3. Intermediate,Lion Brand,Wool-Ease Tonal,Weight 5 - Bulky,5.5 mm (I-9),"Half Double Crochet , Single Crochet",Gray,Gray
1 Hour Crochet Messy Bun Beanie Pattern,2. Easy,Loops and Threads,Cozy Wool,Weight 6 - Super Bulky,9 mm (M/N-13),"Half Double Crochet , Single Crochet",Gray,Gray
Andy Button Crochet Hat Pattern,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Neutral,Neutral
Free Autumn Crochet Beanie Pattern,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,5.5 mm (I-9),Half Double Crochet,Green,Green
Free  and Easy Crochet Ear Warmer Pattern for Winter,2. Easy,Lion Brand,Woolspun,Weight 5 - Bulky,"5.5 mm (I-9) , 6 mm (J-10)","Half Double Crochet , Single Crochet",Neutral,Neutral
Snowy Crochet Ear Warmer Pattern for Beginners,2. Easy,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,6 mm (J-10),Single Crochet,"Blue , Neutral",Blue
Summer Romance Crochet Top,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Double Crochet , Single Crochet",Neutral,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Evelyn Wrap,3. Intermediate,WeCrochet,CotLin,Weight 3 - Light,4 mm (G-6),Single Crochet,Blue,Blue
Tranquil Blue Rectangular Shawl,2. Easy,Lion Brand,Mandala,Weight 4 - Medium,5 mm (H-8),Double Crochet,Blue,Blue
Granny Square Cardigan Crochet Pattern,,,,,,,,
Crochet Seaside Tank Top,2. Easy,Lion Brand,Coboo Yarn,Weight 3 - Light,"3.5 mm (E-4) , 4.5 mm (7)","Single Crochet , Slip Stitch",Neutral,Neutral
Woodland Crochet Capelet Pattern,3. Intermediate,,,Weight 6 - Super Bulky,10 mm (N/P-15),"Double Crochet , Single Crochet",Pink,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Blanket Shrug,2. Easy,Loops and Threads,Crème Cotton,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",Blue,Blue
Beginner Crochet Cardigan,1. Basic,Hobby Lobby,,Weight 2 - Fine,4 mm (G-6),Double Crochet,Variegated,Crochet Cardigans
Waffle Stitch Crochet Scarf Pattern,3. Intermediate,Loops and Threads,Crème Cotton,,6 mm (J-10),,,Crochet Scarves The free version of this pattern comes with limited support. These links should give you the help you need. How to Read a Pattern Understanding Abbreviations Stitch Tutorials Pattern FAQs
Josie Chunky Crochet Scarf Pattern,3. Intermediate,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,10 mm (N/P-15),"Half Double Crochet , Half Double Crochet Back Loop , Half Double Crochet Two Together",Neutral,Neutral
Textured Crochet Neck Warmer Pattern,3. Intermediate,Lion Brand,Feels Like Heaven,Weight 3 - Light,4.5 mm (7),"Half Double Crochet , Single Crochet , Triple Crochet",Pink,Pink
Ombre Crochet Neck Warmer Pattern,2. Easy,Lion Brand,Homespun,Weight 5 - Bulky,6.5 mm (K-10.5),"Double Crochet , Single Crochet",Pink,Pink
Williams Puff Cowl Crochet Pattern,2. Easy,Loops and Threads,Charisma,Weight 5 - Bulky,9 mm (M/N-13),"Half Double Crochet , Puff",Blue,Blue
Half Double Crochet Infinity Scarf Pattern,2. Easy,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,9 mm (M/N-13),Half Double Crochet,"Blue , Green",Blue
Free Ombre Crochet Scarf Pattern,3. Intermediate,Lion Brand,"Feels Like Butta , Mandala",Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet","Blue , Variegated",Blue
Fabulously Fall Crochet Fringe Scarf,3. Intermediate,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Green,Green
9 Cute Crochet Chicken Patterns,,,,,,,,
14 Free Crochet Patterns for Adorable Gnomes,,,,,,,,
21 Beginner-Friendly Crochet Amigurumi Patterns,,,,,,,,
13 Free Crochet Cake Patterns,,,,,,,,
Top 10 Free Patterns for Crochet Plants,,,,,,,,
24 Top Crochet Octopus Patterns: All Free Patterns,,,,,,,,
15 Fun Crochet Patterns for Fruits and Vegetables,,,,,,,,
The Best Axolotl Crochet Pattern Collection,,,,,,,,
Seed Stitch Crochet,2. Easy,,,Weight 2 - Fine,4 mm (G-6),"Single Crochet , Single Crochet Back Loop , Slip Stitch",Pink,Crochet
Spiked Sedge Stitch,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet",Brown,Crochet
Whip Stitch Crochet Seaming Technique,2. Easy,,,,,,,Crochet
Braided Extended Half Double Crochet,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Half Double Crochet , Slip Stitch",Gray,Crochet
Twisted Up Tunisian Simple Stitch,"1. Basic , 2. Easy",,,Weight 3 - Light,6 mm (J-10),Tunisian Simple Stitch,Pink,Crochet
Crunch Stitch Crochet,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Half Double Crochet , Slip Stitch",Brown,Crochet
Crochet Modified Cross Stitch,2. Easy,,,Weight 2 - Fine,4 mm (G-6),"Single Crochet , Slip Stitch",,Crochet
Crochet Bar Stitch,2. Easy,,,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Single Crochet",Brown,Crochet
Double the Fun: A Guide to Holding Two Yarn Skeins Together,,,,,,,,
The Easy Way to Add and Use Crochet Appliqués,,,,,,,,
Crochet the Perfect Temperature Blanket Guide (+ Free Patterns),,,,,,,,
Understanding The Right Side vs Wrong Side in Crochet,,,,,,,,
Why is My Crochet Blanket Curving And How to Fix It!,,,,,,,,
The Many Types of Crochet,,,,,,,,
The 9 Best Ways to Seam Crochet Projects Together,,,,,,,,
What is DK Weight Yarn?,,,,,,,,
Bulky Chevron Blanket,2. Easy,Lion Brand,,Weight 6 - Super Bulky,10 mm (N/P-15),Double Crochet,"Green , Neutral , Pink",Chevron Patterns
Verglas Shawl,2. Easy,Scheepjes,,Weight 3 - Light,3.5 mm (E-4),"Double Crochet , Single Crochet",White,Chevron Patterns
Asymmetric Crochet Chevron Cowl,2. Easy,,,Weight 4 - Medium,5.5 mm (I-9),"Single Crochet , Single Crochet Back Loop , Single Crochet Two Together",,"Chevron Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Classic Ripple Crochet Pattern Tutorial,2. Easy,Red Heart,Red Heart Soft,,6 mm (J-10),Double Crochet,"Blue , Purple",Chevron Patterns
Easy Crochet Chevron Blanket,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),"Single Crochet , Single Crochet Back Loop",Neutral,Neutral
Chevron Scarf Crochet Pattern,2. Easy,Premier Yarns,,Weight 5 - Bulky,6 mm (J-10),Single Crochet,Neutral,Chevron Patterns
Crochet Ripple Baby Blanket Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Half Double Crochet,Yellow,Yellow
Granny Ripple Blanket Crochet Pattern,2. Easy,Lion Brand,Vanna's Choice,Weight 4 - Medium,6 mm (J-10),Double Crochet,"Blue , Gray , White",Blue
24 Free Shamrock and Clover Crochet Patterns,,,,,,,,
Easy Crochet Christmas Stocking Pattern,2. Easy,Bernat,Blanket Yarn,Weight 6 - Super Bulky,9 mm (M/N-13),"Double Crochet , Single Crochet",Red,Red
8 Spooky Crochet Halloween Projects to Haunt Your Home,,,,,,,,
32 Spring Crochet Patterns Ideas,,,,,,,,
New Year’s Eve Crochet Patterns: 11 Sparkling Designs For Your Celebration,,,,,,,,
28 Free Crochet Christmas Patterns for the Home,,,,,,,,
14 Free Crochet Snowflake Patterns,,,,,,,,
11 Free Crochet Patterns for Father’s Day,,,,,,,,
10 Free Crochet Easter Basket Patterns,,,,,,,,
Free Crochet Storage Basket Pattern,2. Easy,Lion Brand,Wool-Ease Thick and Quick,Weight 6 - Super Bulky,9 mm (M/N-13),Double Crochet,Gray,Gray
27 Free Crochet Basket Patterns,,,,,,,,
Free Mini Crochet Basket Pattern,2. Easy,Wool and the Gang,Tina Tape Yarn,Weight 4 - Medium,5.5 mm (I-9),Single Crochet,Green,Green
Peafowl Feathers Crochet Shawl,3. Intermediate,,,Weight 2 - Fine,4 mm (G-6),"Double Crochet , Half Double Crochet","Blue , Green , Purple","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Boho Beach Crochet Vest,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Double Crochet , Single Crochet",Neutral,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Rosa Shawlette,2. Easy,Scheepjes,Stone Washed,Weight 2 - Fine,4.5 mm (7),Tunisian Simple Stitch,Pink,Pink
Franny Granny Child Cardigan,3. Intermediate,,,Weight 3 - Light,4.5 mm (7),Double Crochet,Variegated,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Franny Granny Child Sweater,3. Intermediate,,,Weight 3 - Light,4.5 mm (7),Double Crochet,Variegated,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Franny Granny Child Hoodie,3. Intermediate,,,Weight 3 - Light,4.5 mm (7),Double Crochet,Variegated,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Felidae Summer Wrap,2. Easy,Rowan,Summerlite 4 Ply,Weight 2 - Fine,3.25 mm (D-3),"Double Crochet , Half Double Crochet , Single Crochet","Orange , Pink , Yellow",Orange
Half Double and V-Stitch Super Fine Crochet Wrap,2. Easy,Red Heart,,Weight 1 - Super Fine,3.5 mm (E-4),Half Double Crochet,,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
The Buttoned Crochet Grandpa Coat Cardigan,2. Easy,Lion Brand,,Weight 4 - Medium,6 mm (J-10),,,"Crochet Cardigans This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Autumn Storm Shrug,2. Easy,,,Weight 3 - Light,4 mm (G-6),Double Crochet,"Blue , Gray","C2C Crochet Patterns This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Electric Blue Wrap,3. Intermediate,Scheepjes,,Weight 2 - Fine,2mm,Double Crochet,Blue,Crochet Shawls & Wraps
Tunisian Lacy Shell Wrap,3. Intermediate,,,Weight 3 - Light,6 mm (J-10),,Blue,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
The Lola Easy Oversized Crochet Pullover Sweater,2. Easy,Lion Brand,Heartland,Weight 4 - Medium,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet",Green,Green
Shipka Cardigan,2. Easy,WeCrochet,,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet",Brown,Crochet Cardigans
Lacy Double V-Stitch Rectangular Shawl,2. Easy,Red Heart,,Weight 2 - Fine,3.25 mm (D-3),,,"Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
The Petra Easy Textured Crochet Sweater,2. Easy,,,Weight 4 - Medium,5 mm (H-8),,,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
The Banbury Drape Oversized Crochet Cardigan,2. Easy,Lion Brand,Feels Like Bliss,Weight 5 - Bulky,6 mm (J-10),Half Double Crochet,,Crochet Cardigans
The Fall to Winter Crochet Sweater,2. Easy,Loops and Threads,,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Single Crochet","Brown , White",Crochet Clothing
Your First Crochet Beginner Sweater Pattern,2. Easy,Caron Yarn,Caron Cakes,Weight 4 - Medium,4.5 mm (7),Half Double Crochet,"Blue , Brown",Blue
Victoria Easy Chunky Crochet Cardigan,2. Easy,Lion Brand,Wool-Ease,Weight 4 - Medium,6 mm (J-10),"Double Crochet , Half Double Crochet , Single Crochet","Pink , White",Pink
Franny Granny Poncho,2. Easy,Knit Picks,Upcycle Alpaca Blend Worsted,Weight 4 - Medium,4.5 mm (7),"Double Crochet , Single Crochet",Neutral,Neutral
Holiday Lace and Mesh Crochet Top,2. Easy,Lion Brand,24/7 Cotton,Weight 4 - Medium,4 mm (G-6),"Double Crochet , Half Double Crochet , Single Crochet",Red,Red
Frances Crochet Cardigan For Kids,2. Easy,,,"Weight 0 - Lace , Weight 3 - Light",4 mm (G-6),"Double Crochet , Single Crochet , Single Crochet Back Loop",Blue,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Japandi Lace Shawl,2. Easy,Hobbii,,Weight 2 - Fine,5 mm (H-8),Tunisian Knit Stitch,Neutral,Crochet Clothing
Button Baby Sweater,2. Easy,,,Weight 3 - Light,40 mm,"Double Crochet , Half Double Crochet , Half Double Crochet Two Together",Blue,"Baby Sweaters This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Dreamy Lucia Shawl,2. Easy,,,Weight 1 - Super Fine,7 mm,Tunisian Simple Stitch,"Green , Neutral , Purple","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Sienna Crop Top,2. Easy,Knit Picks,CotLin,Weight 3 - Light,4 mm (G-6),"Double Crochet , Single Crochet , Single Crochet Back Loop , Slip Stitch",Neutral,Neutral
Orange Blossom Wrap,2. Easy,Rowan,,Weight 0 - Lace,6.5 mm (K-10.5),Herringbone Double Crochet,Orange,Crochet Scarves
Crochet Adult High Waist Skirt,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Double Crochet , Single Crochet , Single Crochet Back Loop",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
21 Crochet Skirt Patterns,,,,,,,,
Flowers and Diamonds Crochet Summer Top,1. Basic,,,Weight 3 - Light,6 mm (J-10),"Single Crochet , Slip Stitch",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Very Peri Tee,3. Intermediate,,,Weight 0 - Lace,3.5 mm (E-4),"Double Crochet , Puff",Purple,"Crochet Tops & Tanks This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Victoria Shawl,2. Easy,,,Weight 2 - Fine,,"Tunisian Knit Stitch , Tunisian Purl Stitch , Tunisian Simple Stitch","Green , Yellow","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Puffs and Crosses Lace Shawl,2. Easy,Scheepjes,,Weight 1 - Super Fine,4 mm (G-6),"Double Crochet , Puff , Single Crochet",Pink,Crochet Shawls & Wraps
Crochet Bikini Top,2. Easy,,,Weight 3 - Light,5 mm (H-8),"Double Crochet , Half Double Crochet , Single Crochet , Slip Stitch",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Helen Shawl,3. Intermediate,Scheepjes,,Weight 2 - Fine,4.5 mm (7),"Tunisian Purl Stitch , Tunisian Simple Stitch",Orange,Crochet Shawls & Wraps
Crochet Backless Crop Top Pattern,1. Basic,,,Weight 3 - Light,4.5 mm (7),"Double Crochet , Single Crochet , Slip Stitch",,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Crochet Halter Tops That Are Perfect for warm weather,,,,,,,,
Laura Cardigan,3. Intermediate,Scheepjes,Stone Washed,Weight 2 - Fine,3.5 mm (E-4),"Double Crochet , Single Crochet",Neutral,Neutral
Crochet Lacy Summer Top,,,,,,,,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Field of Puffs Crochet Shawl,,,,,,,,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Deidra Sweater,3. Intermediate,"Knit Picks , WeCrochet",,Weight 4 - Medium,"4.5 mm (7) , 5 mm (H-8)","Half Double Crochet , Half Double Crochet Back Loop , Single Crochet , Slip Stitch",Pink,Crochet Sweaters
Misty Sunrise Shawl,3. Intermediate,,,Weight 1 - Super Fine,4.5 mm (7),"Tunisian Knit Stitch , Tunisian Simple Stitch","Gray , Yellow","Crochet Shawls & Wraps This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Sky Walk Tunisian Chevron Shawl,2. Easy,Stylecraft,,Weight 3 - Light,5.5 mm (I-9),Tunisian Simple Stitch,Blue,Crochet Shawls & Wraps
25 Free Crochet Dress Patterns,,,,,,,,
Beginner Crochet Poncho Wrap Pattern,,Red Heart,Unforgettable,Weight 4 - Medium,5 mm (H-8),Double Crochet,,"Crochet Clothing This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
10 Crochet Bikini Patterns You’ll Love Making,,,,,,,,
Blooming Granny Square,3. Intermediate,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Blue , Green , White",Blue
Shift Granny Square,3. Intermediate,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Neutral , Orange , Pink , Purple",Neutral
Woodland Linen Stitch Crochet Blanket,2. Easy,Lion Brand,Mandala,Weight 3 - Light,4 mm (G-6),"Moss / Linen , Single Crochet","Blue , Green",Blue
Milly Baby Blanket,2. Easy,Hobbii,,,15 mm (P/Q),Tunisian Simple Stitch,"Neutral , Pink , Purple , Red , Yellow","Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
Weekend Granny Square,3. Intermediate,Caron Yarn,Caron Cakes,Weight 4 - Medium,5 mm (H-8),Double Crochet,"Neutral , Orange , Pink , Purple",Neutral
#1 Bobble Blanket,2. Easy,Yarnspirations,Caron Cakes,Weight 4 - Medium,5 mm (H-8),"Bobble , Double Crochet , Single Crochet",Variegated,Variegated
Tunisian Heart Coaster,2. Easy,Scheepjes,Stone Washed,Weight 2 - Fine,4.5 mm (7),Tunisian Simple Stitch,Pink,Pink
Cozy Corner Blanket,2. Easy,Hobbii,,Weight 6 - Super Bulky,15 mm (P/Q),Tunisian Simple Stitch,"Brown , Neutral , Pink , Purple , Red",Crochet Blankets
Lovely Heart Coaster,2. Easy,Scheepjes,Stone Washed,Weight 2 - Fine,4.5 mm (7),Tunisian Simple Stitch,Pink,Pink
Daniel Diamond Blanket,3. Intermediate,Hobbii,,Weight 4 - Medium,6 mm (J-10),Tunisian Simple Stitch,"Blue , Green",Crochet Baby Blankets
Primrose Crochet Baby Blanket,3. Intermediate,Bernat,Blanket Yarn,Weight 6 - Super Bulky,6.5 mm (K-10.5),"Double Crochet , Single Crochet",Neutral,Neutral
Alternating Christmas Afghan,2. Easy,Red Heart,Super Saver,Weight 4 - Medium,5.5 mm (I-9),"Half Double Crochet , Slip Stitch","Green , Red , White",Green
Sea Ripple Crochet Baby Blanket,1. Basic,,,Weight 3 - Light,4 mm (G-6),Double Crochet,"Blue , Green , White","Crochet Baby Blankets This pattern is shown as a part of our partner program . EasyCrochet.com did not create this pattern. For support on this crochet pattern, please reach out to the owner through their website."
